"world_rank","university_name","country","teaching","international","research","citations","income","total_score","num_students","student_staff_ratio","international_students","female_male_ratio","year","lon","lat"
"301-350","University of Aveiro","Portugal",17,"48.4",15.9,40.9,"34.7","-","10,791",17.8,"10%","51 : 49",2012,-8.657506,40.6303024
"301-350","University of Canterbury","New Zealand",17.3,"76.3",24.3,30.5,"26.6","-","12,187",16.5,"20%","51 : 49",2012,172.5839233,-43.5235375
"301-350","University of Eastern Finland","Finland",23.2,"33.5",16.1,51.1,"30.2","-","10,798",17.3,"6%","64 : 36",2012,29.744203,62.603598
"301-350","University of Ferrara","Italy",15.8,"37.1",14.1,59.3,"34.3","-","18,882",30.2,"7%","56 : 44",2012,11.6261625,44.8334234
"301-350","University of Hertfordshire","United Kingdom",12.2,"76.5",7.7,55.5,"27.1","-","19,665",19.4,"27%","54 : 46",2012,-0.2467997,51.7617561
"301-350","University of Houston","United States of America",36.5,"27.7",23.6,23.6,"31.2","-","40,325",43.7,"9%","50 : 50",2012,-95.3422334,29.7199489
"301-350","University of Hull","United Kingdom",14.5,"66.2",16.7,40.2,"28.1","-","15,141",18.7,"20%","52 : 48",2012,-0.3673875,53.7714552
"301-350","University of Liège","Belgium",23.5,"68.7",16.4,38.9,"64.8","-","20,951",25.9,"23%","54 : 46",2012,5.559064,50.5830803
"301-350","University of Manitoba","Canada",29.5,"40.2",31.7,27.7,"40.7","-","28,576",27.8,"11%","55 : 45",2012,-97.1366259,49.8075008
"301-350","University of Maryland, Baltimore County","United States of America",17.6,"18.6",14.5,52.8,"29.9","-","13,908",18.1,"7%","46 : 54",2012,-76.7111956,39.2551135
"301-350","University of Modena and Reggio Emilia","Italy",14.5,"26.8",15.7,50.8,"27.9","-","19,693",25.3,"6%","54 : 46",2012,10.9279258,44.6451116
"301-350","University of Oklahoma","United States of America",33.8,"20.7",16.1,31.6,"32.3","-","",NA,"","",2012,-97.4457137,35.2058936
"301-350","University of Pisa","Italy",18.3,"26.2",18.5,50.8,"35.3","-","47,247",18,"4%","52 : 48",2012,10.3988593,43.7167235
"301-350","University of Porto","Portugal",17.7,"42.0",13,43.9,"33.7","-","32,720",18.8,"9%","54 : 46",2012,-8.6156998,41.1465479
"301-350","University of South Florida","United States of America",22.1,"15.0",30.1,36.6,"94.4","-","31,424",21.5,"10%","",2012,-82.4138539,28.0587031
"301-350","University of Stirling","United Kingdom",18.2,"69.5",22.2,42,"26.6","-","7,828",15.9,"22%","61 : 39",2012,-3.918879,56.1459171
"301-350","University of Surrey","United Kingdom",32.6,"81.5",25.2,12.4,"46.9","-","12,063",16.6,"38%","55 : 45",2012,-0.5904827,51.2423009
"301-350","University of Tampere","Finland",22.5,"38.3",22.1,44.4,"55.1","-","10,045",9.5,"4%","66 : 34",2012,23.7787354,61.4937448
"301-350","University of Tasmania","Australia",18.5,"70.5",15,34.9,"42.1","-","18,340",23.8,"21%","57 : 43",2012,147.3266391,-42.9035119
"301-350","University of Valencia","Spain",15.8,"36.4",10.2,64.3,"32.1","-","58,413",15.4,"9%","60 : 40",2012,-0.3593863,39.4793254
"301-350","University of Waikato","New Zealand",13.3,"87.0",13.9,47.8,"24.5","-","10,159",17,"25%","57 : 43",2012,175.3184579,-37.7868611
"301-350","University of Warsaw","Poland",21.6,"35.8",15.7,44.3,"-","-","49,292",14.1,"7%","67 : 33",2012,21.0186012,52.2403463
"301-350","Vienna University of Technology","Austria",26.3,"82.5",14.1,24.3,"35.2","-","26,419",52,"27%","27 : 73",2012,16.3684626,48.1986546
"301-350","Vrije Universiteit Brussel","Belgium",23.4,"49.4",21.1,36.7,"66.2","-","9,020",17.1,"16%","55 : 45",2012,4.394886,50.821658
"301-350","Washington State University","United States of America",28.8,"31.0",24.5,33.5,"34.3","-","24,550",18.3,"7%","50 : 50",2012,-117.1542121,46.7319225
"301-350","Zhejiang University","China",38.8,"13.9",27.2,23,"84.4","-","47,508",15.9,"5%","41 : 59",2012,120.1689207,30.2929634
"350-400","Aston University","United Kingdom",16.2,"84.5",19.9,11.7,"26.8","-","",NA,"","",2012,-1.8902314,52.4869642
"350-400","Auburn University","United States of America",33.7,"22.5",18.7,10.3,"47.3","-","22,386",17.6,"4%","51 : 49",2012,-85.4951663,32.5933574
"350-400","Clemson University","United States of America",20.8,"28.5",17,25.5,"30.8","-","19,198",17.1,"8%","46 : 54",2012,-82.8391551,34.680476
"350-400","Curtin University","Australia",17.1,"91.4",12.3,28.7,"31.3","-","30,333",17.1,"38%","53 : 47",2012,115.8944182,-32.0061951
"350-400","Deakin University","Australia",17.7,"56.3",16.8,26.2,"27.9","-","32,713",30.4,"17%","60 : 40",2012,145.1149452,-37.8477381
"350-400","Flinders University","Australia",18.2,"59.9",19.1,20.3,"36.2","-","15,655",22.6,"15%","63 : 37",2012,138.5713281,-35.0244952
"350-400","Georgia State University","United States of America",19.6,"27.9",20.2,34.4,"39.1","-","28,534",20.4,"5%","59 : 41",2012,-84.3852819,33.753068
"350-400","Griffith University","Australia",15.7,"79.0",16.2,20.3,"30.7","-","30,251",22,"21%","",2012,153.053674,-27.5536791
"350-400","Harbin Institute of Technology","China",29,"21.0",12.5,21,"97.2","-","31,658",10.8,"7%","29 : 71",2012,126.633425,45.747047
"350-400","Heriot-Watt University","United Kingdom",21.5,"82.6",16.2,18.8,"41.1","-","8,773",17.8,"43%","41 : 59",2012,-3.3203494,55.9096602
"350-400","Hiroshima University","Japan",27.7,"18.8",16.3,20.1,"39.4","-","14,686",8.2,"5%","36 : 64",2012,132.714908,34.403123
"350-400","Kansas State University","United States of America",20.9,"23.6",13.8,33.9,"36.0","-","21,379",15.1,"10%","50 : 50",2012,-96.5847249,39.1974437
"350-400","Kobe University","Japan",28.3,"18.1",15.5,24.3,"33.5","-","15,885",8.4,"6%","33 : 67",2012,135.2353953,34.7256185
"350-400","Kyung Hee University","South Korea",37.1,"31.4",17.9,6.6,"79.9","-","24,356",17.4,"14%","",2012,127.052544,37.5961951
"350-400","La Trobe University","Australia",19,"71.3",19.5,13.6,"28.9","-","22,037",29,"27%","63 : 37",2012,145.0483946,-37.7207268
"350-400","Leibniz University of Hanover","Germany",28.2,"51.4",15.9,21.7,"38.9","-","22,401",62.7,"12%","41 : 59",2012,9.7196989,52.3829641
"350-400","Liverpool John Moores University","United Kingdom",12.3,"52.6",9.3,48.4,"26.9","-","18,513",19.8,"13%","52 : 48",2012,-2.9712846,53.4034017
"350-400","Loughborough University","United Kingdom",27.9,"66.7",25.7,9.2,"39.4","-","13,951",15.9,"22%","38 : 62",2012,-1.224632,52.769227
"350-400","Mahidol University","Thailand",29.9,"45.0",14.7,20.9,"29.0","-","27,402",7.5,"3%","63 : 37",2012,100.3233845,13.7947609
"350-400","Massey University","New Zealand",17.4,"77.8",17.2,24.5,"-","-","19,101",16.8,"15%","62 : 38",2012,175.619553,-40.3867649
"350-400","Michigan Technological University","United States of America",21.2,"32.3",13.8,24.8,"41.9","-","",NA,"","",2012,-88.5445293,47.1170498
"350-400","National Central University","Taiwan",24.7,"22.2",21.4,27.1,"78.6","-","10,915",9.8,"6%","31 : 69",2012,121.1925163,24.9694808
"350-400","National Taiwan Ocean University","Taiwan",12.5,"14.3",19.7,31,"68.0","-","8,240",20.9,"5%","30 : 70",2012,121.7768159,25.1501756
"350-400","National University of Ireland, Galway","Republic of Ireland",17.9,"72.6",12.2,31.3,"32.7","-","14,067",26.8,"14%","56 : 44",2012,-9.061603,53.276645
"350-400","National University of Ireland, Maynooth","Republic of Ireland",22.9,"74.8",18.6,22.1,"27.1","-","7,653",28,"11%","55 : 45",2012,-6.6000704,53.3838822
"350-400","New Jersey Institute of Technology","United States of America",17.1,"41.3",14.5,26.4,"37.5","-","10,646",26.2,"17%","25 : 75",2012,-74.1778803,40.7425572
"350-400","New University of Lisbon","Portugal",18,"48.3",10.9,28.3,"38.3","-","18,867",17.9,"7%","49 : 51",2012,-9.160333,38.733682
"350-400","Old Dominion University","United States of America",17.1,"27.3",12.5,46.9,"-","-","",NA,"","",2012,-76.3035628,36.888947
"350-400","Polytechnic University of Catalonia","Spain",23,"42.0",12.5,23.3,"44.6","-","22,893",11.7,"28%","12 : 88",2012,2.1132804,41.388004
"350-400","Polytechnic University of Turin","Italy",19.3,"32.4",12.1,29.1,"67.6","-","27,709",19.6,"16%","29 : 71",2012,7.6620529,45.0627948
"350-400","Polytechnic University of Valencia","Spain",19.6,"23.6",9.8,45.3,"36.6","-","33,172",13.6,"7%","36 : 64",2012,-0.341067,39.481059
"350-400","Pontifical Catholic University of Chile","Chile",17.1,"45.5",16.3,30.1,"29.7","-","25,075",15.3,"7%","",2012,-70.6407933,-33.4411279
"350-400","Saint Petersburg State University","Russian Federation",37.6,"38.1",19.7,3.1,"26.0","-","20,836",5.2,"7%","60 : 40",2012,30.2989198,59.941894
"350-400","Swansea University","United Kingdom",17.6,"63.3",18.1,25.6,"28.8","-","12,801",17.1,"20%","49 : 51",2012,-3.982132,51.608392
"350-400","Swinburne University of Technology","Australia",15.5,"64.6",11.3,35.6,"40.3","-","20,314",36.5,"33%","44 : 56",2012,145.0389546,-37.8221504
"350-400","Tokyo University of Agriculture and Technology","Japan",26.5,"18.0",15.8,21.7,"41.5","-","5,865",14.4,"5%","27 : 73",2012,139.478664,35.683986
"350-400","University of Bari Aldo Moro","Italy",23.1,"30.5",17.4,35.1,"30.6","-","51,560",65.1,"2%","65 : 35",2012,16.8684745,41.1205546
"350-400","University of Coimbra","Portugal",20.6,"55.8",11.6,27.4,"29.4","-","22,795",19,"11%","55 : 45",2012,-8.4241509,40.2089072
"350-400","University of Idaho","United States of America",29.4,"27.4",16.2,24,"25.5","-","11,641",21.5,"6%","47 : 53",2012,-117.0126084,46.7288124
"350-400","University of Kent","United Kingdom",15.6,"82.5",18.5,19.1,"26.5","-","17,638",14.4,"27%","53 : 47",2012,1.071629,51.298536
"350-400","University of Paris North – Paris 13","France",13.4,"59.9",11.8,39.4,"24.2","-","23,026",23.4,"22%","60 : 40",2012,2.341461,48.956209
"350-400","University of Salento","Italy",26.5,"24.4",19.1,27.2,"73.1","-","19,959",58.4,"1%","64 : 36",2012,18.1672669,40.3495599
"350-400","University of South Australia","Australia",20.6,"81.8",18,19.4,"87.7","-","18,971",26.2,"32%","59 : 41",2012,138.6066669,-34.9201652
"350-400","University of Strathclyde","United Kingdom",24.4,"63.0",17.7,19.3,"33.1","-","15,705",20.2,"20%","50 : 50",2012,-4.2428535,55.8628285
"350-400","University of Tartu","Estonia",17.8,"42.0",17.8,34.4,"26.3","-","10,269",13,"3%","66 : 34",2012,26.7198658,58.3810843
"350-400","University of Turku","Finland",20.4,"41.4",21.5,28.9,"32.3","-","12,326",14.6,"5%","61 : 39",2012,22.2851138,60.4562974
"350-400","University of Wyoming","United States of America",18.4,"21.8",20.9,36.7,"29.8","-","",NA,"","",2012,-105.5796706,41.3130972
"350-400","University of Zaragoza","Spain",14.5,"28.8",9.3,38.4,"42.9","-","31,046",11.8,"5%","55 : 45",2012,-0.90034,41.64213
"350-400","Waseda University","Japan",25.4,"27.1",17.3,29.7,"27.3","-","52,316",16.9,"8%","35 : 65",2012,139.7208045,35.7092082
"350-400","Wuhan University","China",31.3,"21.7",12.9,25.3,"66.7","-","46,227",14.4,"7%","",2012,114.3643219,30.5360485
"350-400","Yuan Ze University","Taiwan",10.8,"12.8",9.6,58.3,"29.2","-","8,663",20.6,"4%","43 : 57",2012,121.2664937,24.9699006
"1","California Institute of Technology","United States of America",96.3,"59.8",99.4,99.7,"95.6","95.5","2,243",6.9,"27%","33 : 67",2013,-118.125269,34.1376576
"2","Stanford University","United States of America",95,"56.6",98.8,99.3,"62.4","93.7","15,596",7.8,"22%","42 : 58",2013,-117.8389422,33.6518297
"2","University of Oxford","United Kingdom",89.7,"88.7",98.1,95.6,"79.8","93.7","19,919",11.6,"34%","46 : 54",2013,-117.8273389,33.6504742
"4","Harvard University","United States of America",94.9,"63.7",98.6,99.2,"39.9","93.6","20,152",8.9,"25%","",2013,-71.1166286,42.3800977
"5","Massachusetts Institute of Technology","United States of America",92.9,"81.6",89.2,99.9,"92.9","93.1","11,074",9,"33%","37 : 63",2013,-71.0934,42.3591
"6","Princeton University","United States of America",89.5,"54.5",99.4,99.8,"79.5","92.7","7,929",8.4,"27%","45 : 55",2013,-74.6582332,40.3492867
"7","University of Cambridge","United Kingdom",91.2,"83.6",95.6,96.2,"59.1","92.6","18,812",11.8,"34%","46 : 54",2013,0.1177882,52.2016671
"8","Imperial College London","United Kingdom",88,"91.4",90.9,93,"87.5","90.6","15,060",11.7,"51%","37 : 63",2013,-0.1732294,51.5177246
"9","University of California, Berkeley","United States of America",85.1,"49.7",99.3,99.3,"65.4","90.5","36,186",16.4,"15%","50 : 50",2013,-122.2447958,37.8805941
"10","University of Chicago","United States of America",89.6,"55.3",92.9,98.7,"-","90.4","14,221",6.9,"21%","42 : 58",2013,-87.5903039,41.7857416
"11","Yale University","United States of America",93.2,"54.7",92.5,94.8,"38.2","89.2","11,751",4.4,"20%","50 : 50",2013,-90.315018,38.6595336
"12","ETH Zurich – Swiss Federal Institute of Technology Zurich","Switzerland",82.5,"95.7",92.7,86.6,"-","87.8","18,178",14.7,"37%","31 : 69",2013,8.541694,47.3768866
"13","University of California, Los Angeles","United States of America",87.3,"42.3",93.8,95.9,"-","87.7","38,206",10.3,"15%","52 : 48",2013,-118.4431764,34.0729489
"14","Columbia University","United States of America",89.7,"66.1",82,96.1,"-","87.0","25,055",5.9,"28%","",2013,-73.9625727,40.8075355
"15","University of Pennsylvania","United States of America",90,"38.1",89.4,96.2,"43.7","86.6","20,376",6.5,"20%","51 : 49",2013,-90.3149303,38.6736751
"16","Johns Hopkins University","United States of America",81.8,"57.3",85.5,95.3,"100.0","85.6","15,128",3.6,"23%","50 : 50",2013,-76.6003432,39.3272601
"17","University College London","United Kingdom",83.5,"89.0",88.8,86.8,"45.1","85.5","26,607",10.7,"46%","56 : 44",2013,-0.1335692,51.5247063
"18","Cornell University","United States of America",77,"53.8",92.1,91.8,"39.5","83.3","21,424",10.2,"19%","48 : 52",2013,-117.8357356,33.6493781
"19","Northwestern University","United States of America",77.6,"33.8",87.3,98.2,"64.4","83.1","18,334",13.8,"15%","48 : 52",2013,-87.6197349,41.8954119
"20","University of Michigan","United States of America",76.1,"47.6",91.4,91.6,"53.9","82.6","41,786",9,"16%","48 : 52",2013,-83.7382241,42.2780436
"21","University of Toronto","Canada",79.6,"65.1",89.4,85.1,"42.9","82.2","66,198",19.5,"15%","",2013,-79.4023299,43.666663
"22","Carnegie Mellon University","United States of America",71.8,"51.4",87,95.5,"55.9","81.5","11,885",13.1,"35%","39 : 61",2013,-79.9441368,40.4432289
"23","Duke University","United States of America",72.3,"45.8",81.5,97,"100.0","81.2","15,172",4.8,"17%","49 : 51",2013,-117.166351,34.061706
"24","University of Washington Seattle","United States of America",74.7,"39.1",81.3,97,"41.3","79.9","44,020",11.8,"13%","53 : 47",2013,-122.3102213,47.6698745
"25","Georgia Institute of Technology","United States of America",70.2,"66.3",79.5,90.3,"74.9","78.8","19,967",20.1,"26%","31 : 69",2013,-84.3988806,33.7784626
"25","University of Texas at Austin","United States of America",75.5,"42.1",80.7,91,"57.9","78.8","49,427",17.4,"9%","51 : 49",2013,-97.7335226,30.2850284
"27","University of Tokyo","Japan",87.9,"27.6",89.9,71.3,"59.0","78.3","26,199",5.7,"10%","",2013,139.7442192,35.7198647
"28","University of Melbourne","Australia",68.4,"77.2",82.5,83.7,"67.6","77.9","40,128",23.7,"35%","55 : 45",2013,144.9610796,-37.8013221
"29","National University of Singapore","Singapore",74.4,"92.3",87.2,67.2,"77.4","77.5","31,592",15.5,"34%","49 : 51",2013,7.4674717,45.7399332
"30","University of British Columbia","Canada",69.1,"82.1",80.4,84,"42.4","77.3","50,152",17.6,"25%","54 : 46",2013,-123.2459939,49.2606052
"31","University of Wisconsin-Madison","United States of America",76.1,"29.8",80.1,88.2,"54.8","76.9","39,655",10.8,"11%","51 : 49",2013,-89.4052247,43.0765915
"32","University of Edinburgh","United Kingdom",68.4,"78.9",71.3,90.8,"43.8","76.1","25,774",14.1,"36%","58 : 42",2013,-3.1847238,55.9462691
"33","University of Illinois at Urbana-Champaign","United States of America",74.2,"36.0",84.9,80.8,"-","75.8","42,727",18.7,"20%","47 : 53",2013,-88.2271615,40.1019523
"34","McGill University","Canada",74.4,"75.9",80.4,75.2,"40.3","75.7","31,326",13.7,"23%","56 : 44",2013,-113.9836203,46.8624181
"35","University of California, Santa Barbara","United States of America",56.1,"58.3",73.5,99.4,"100.0","75.6","22,020",27.3,"11%","52 : 48",2013,-117.8082831,33.6858022
"35","University of Hong Kong","Hong Kong",78.4,"81.7",85.9,62.1,"62.5","75.6","19,835",17.6,"38%","53 : 47",2013,114.1378391,22.2840507
"37","Australian National University","Australia",68.6,"90.0",83.5,73.5,"39.6","75.4","14,604",19.2,"35%","52 : 48",2013,142.389278,-10.890853
"38","University of California, San Diego","United States of America",63.4,"34.2",79,96.2,"43.9","75.2","27,233",6.5,"11%","48 : 52",2013,-117.2340135,32.8800604
"39","London School of Economics and Political Science","United Kingdom",70.8,"87.2",80.8,66.5,"42.9","73.1","",NA,"","",2013,-0.1173766,51.5144077
"40","École Polytechnique Fédérale de Lausanne","Switzerland",62.4,"98.8",57,95,"49.8","73.0","9,666",10.5,"54%","27 : 73",2013,6.5676007,46.5189865
"41","New York University","United States of America",73.8,"38.7",67.4,89.2,"29.5","72.8","42,056",6.8,"19%","55 : 45",2013,-106.496973,31.777508
"42","Karolinska Institute","Sweden",66.3,"64.5",75.7,77.3,"71.4","72.4","7,774",11.5,"22%","70 : 30",2013,18.0214528,59.3494376
"42","University of North Carolina at Chapel Hill","United States of America",70.4,"32.9",69.3,90.1,"40.0","72.4","26,518",7.3,"8%","58 : 42",2013,-78.9399682,35.9681485
"44","University of California, Davis","United States of America",67.9,"51.7",71.6,82.7,"52.5","71.8","35,364",13.9,"13%","54 : 46",2013,-121.7209826,38.5494919
"44","Washington University in St Louis","United States of America",66,"44.3",62.8,95.2,"-","71.8","12,528",5.7,"17%","",2013,-90.3308854,38.6846489
"46","Peking University","China",81.5,"54.1",67.9,64.3,"99.9","70.7","40,148",8.3,"14%","",2013,116.3065393,39.9939231
"47","University of Minnesota","United States of America",66.1,"28.7",74,84.7,"-","70.5","46,825",18,"13%","52 : 48",2013,-93.199514,44.9743269
"48","LMU Munich","Germany",65.4,"54.7",66.5,85.5,"42.0","70.4","35,691",15.5,"13%","62 : 38",2013,11.582443,48.150942
"49","University of Manchester","United Kingdom",65.9,"77.9",67.7,76.9,"43.2","70.1","34,938",15.3,"34%","52 : 48",2013,-90.3332427,38.6129798
"50","Pohang University of Science and Technology","South Korea",63.9,"28.8",63.9,88.2,"100.0","69.4","3,055",10.1,"4%","20 : 80",2013,129.3434808,36.0190178
"51","Brown University","United States of America",63.7,"36.9",60.3,94.1,"29.9","68.9","8,653",10.1,"19%","",2013,-83.9617862,43.514033
"52","Tsinghua University","China",74.5,"37.2",76.4,55.2,"99.2","67.1","39,763",13.7,"10%","32 : 68",2013,116.3246671,39.9990443
"53","Ohio State University","United States of America",66.7,"46.3",60.9,80.1,"49.5","67.0","51,462",13.4,"12%","49 : 51",2013,-83.0227103,39.9993865
"54","Boston University","United States of America",65.4,"39.2",50.9,94.2,"30.6","66.8","24,789",8.6,"17%","58 : 42",2013,-0.1852592,51.4925846
"54","Kyoto University","Japan",77.1,"26.3",74.8,57.8,"76.4","66.8","22,809",5.6,"7%","",2013,135.7680294,35.0116363
"56","University of Southern California","United States of America",68.4,"43.4",57.1,81.9,"33.5","66.3","36,534",12.9,"20%","52 : 48",2013,-117.2914463,34.1036186
"57","King’s College London","United Kingdom",53.5,"86.0",59.3,82.8,"42.4","66.2","21,394",11.4,"37%","61 : 39",2013,-0.0890873,51.4699486
"58","KU Leuven","Belgium",59.7,"56.6",71,67.2,"99.7","66.1","42,503",41.9,"18%","54 : 46",2013,4.7005176,50.8798438
"59","Seoul National University","South Korea",76.7,"27.0",81.4,48,"81.7","65.9","26,389",13.9,"10%","",2013,126.952712,37.48121
"59","École Normale Supérieure","France",61.6,"67.3",46.9,90.3,"47.2","65.9","2,400",7.9,"20%","46 : 54",2013,-83.8126438,39.7473569
"61","Pennsylvania State University","United States of America",55,"34.9",69.2,81.4,"59.7","65.8","44,501",12.4,"12%","46 : 54",2013,-77.8608888,40.8072337
"62","University of Sydney","Australia",59.5,"83.0",70.1,62.9,"69.2","65.7","41,868",20.2,"28%","57 : 43",2013,149.6612155,-30.4730963
"62","École Polytechnique","France",56.5,"83.0",54.7,80.7,"75.8","65.7","2,429",4.8,"30%","18 : 82",2013,-73.6130801,45.504661
"64","Leiden University","Netherlands",54,"54.8",67.1,78.4,"46.1","65.1","21,222",17.1,"10%","59 : 41",2013,4.481357,52.1569487
"65","Hong Kong University of Science and Technology","Hong Kong",56.9,"78.1",64.6,68.9,"55.6","64.4","11,385",23.8,"36%","",2013,114.2715461,22.2917485
"65","The University of Queensland","Australia",54.4,"77.8",66.1,69.6,"64.0","64.4","34,718",32.7,"27%","53 : 47",2013,151.9287869,-27.6061106
"67","Utrecht University","Netherlands",48,"47.3",64.7,82.4,"82.6","64.1","30,779",15.4,"7%","59 : 41",2013,5.1214201,52.0907374
"68","Korea Advanced Institute of Science and Technology (KAIST)","South Korea",69.9,"31.1",68.9,58.4,"100.0","64.0","9,027",10,"9%","20 : 80",2013,127.3640249,36.3693921
"69","Purdue University","United States of America",59.8,"54.8",71.9,63.1,"-","63.8","39,256",18.1,"22%","42 : 58",2013,-87.0541793,40.4533683
"70","University of Göttingen","Germany",50,"51.0",52.5,92.5,"34.4","63.2","25,581",25.6,"12%","51 : 49",2013,9.9374004,51.5408116
"70","Wageningen University and Research Center","Netherlands",54.9,"79.2",53.7,73.8,"100.0","63.2","9,248",17,"21%","56 : 44",2013,5.6653948,51.9691868
"72","Erasmus University Rotterdam","Netherlands",44.5,"62.8",64.1,80.2,"62.0","62.9","20,580",18.9,"18%","48 : 52",2013,4.525585,51.91752
"72","University of Massachusetts","United States of America",57.1,"31.7",62.6,77.8,"52.8","62.9","56,959",13,"11%","49 : 51",2013,-117.3324743,33.9866891
"74","University of Bristol","United Kingdom",50.1,"71.9",51.7,85.4,"38.7","62.5","17,906",14,"25%","53 : 47",2013,-2.6259899,51.4771065
"75","Rice University","United States of America",49.5,"59.0",39.3,100,"36.5","62.0","6,333",9,"26%","44 : 56",2013,-85.6613123,40.1136943
"76","University of Pittsburgh","United States of America",54.6,"29.4",55.1,85.2,"39.3","61.7","26,485",5.8,"10%","51 : 49",2013,-79.960835,40.4443533
"77","Delft University of Technology","Netherlands",59.9,"67.7",75.1,45.1,"99.9","61.6","15,920",19.4,"25%","26 : 74",2013,4.3570677,52.0115769
"78","Heidelberg University","Germany",61.4,"61.3",49,75.5,"40.7","61.4","28,881",24.5,"17%","55 : 45",2013,-77.576748,43.1700966
"79","Emory University","United States of America",56.7,"36.6",44.4,90.9,"38.3","61.3","12,338",4.5,"18%","56 : 44",2013,-80.627626,28.0658079
"80","Durham University","United Kingdom",42.3,"77.7",44.5,93.3,"34.3","60.7","15,489",15.7,"24%","54 : 46",2013,-1.5782029,54.7649859
"81","Pierre and Marie Curie University","France",59.2,"64.4",43.5,80.6,"28.6","60.5","27,862",8.7,"18%","48 : 52",2013,2.357499,48.8471036
"82","Lund University","Sweden",43.6,"64.4",61.3,77.1,"34.2","60.3","28,251",11.5,"15%","",2013,-87.7106499,41.9722799
"83","University of Amsterdam","Netherlands",45.6,"57.0",61.3,75.1,"49.0","60.1","24,570",14.4,"11%","53 : 47",2013,4.9470315,52.3561962
"84","University of Montreal","Canada",54,"74.6",57.9,60.9,"95.0","59.8","38,264",20.3,"25%","57 : 43",2013,-90.350862,38.6816147
"85","University of New South Wales","Australia",52.6,"84.8",63.8,56.7,"50.5","59.6","38,309",25.9,"33%","47 : 53",2013,151.710005,-32.8871981
"86","Nanyang Technological University","Singapore",45.7,"90.5",66.9,54.5,"99.5","59.4","25,028",16.2,"33%","48 : 52",2013,-120.554501,34.865784
"87","Tufts University","United States of America",52.6,"39.6",36.4,94.8,"39.4","59.1","10,410",10,"14%","54 : 46",2013,-71.120482,42.4036848
"88","McMaster University","Canada",42.3,"66.9",47.9,81.7,"98.0","59.0","23,823",19.3,"15%","53 : 47",2013,-81.0261039,34.0026819
"89","University of Groningen","Netherlands",43.8,"49.8",61,71.6,"85.2","58.8","24,556",25.6,"12%","52 : 48",2013,6.5665018,53.2193835
"89","University of Zurich","Switzerland",50,"84.1",41.6,80,"38.3","58.8","26,583",6.5,"19%","57 : 43",2013,8.5595886,47.3588302
"91","University of Colorado Boulder","United States of America",42.3,"34.7",44.4,97.1,"-","58.7","29,325",16.1,"8%","45 : 55",2013,-105.2627072,40.0071656
"92","Paris-Sud University","France",48,"63.9",45.9,82.9,"28.4","58.6","27,603",15,"17%","",2013,2.1764839,48.6976847
"93","Ghent University","Belgium",46.4,"49.1",56.7,71.3,"95.9","58.4","32,166",34.1,"9%","57 : 43",2013,-123.1884423,49.2669654
"94","Michigan State University","United States of America",51.8,"36.8",56.8,73.8,"32.6","58.3","44,750",15.7,"15%","51 : 49",2013,-83.7333394,42.2752422
"94","University of Notre Dame","United States of America",48.3,"41.6",39.6,93.5,"29.8","58.3","11,829",13.8,"10%","44 : 56",2013,-86.2377772,41.6973401
"96","University of California, Irvine","United States of America",44,"35.2",47.2,90.3,"42.1","58.2","26,614",16.1,"16%","52 : 48",2013,-117.853022,33.664081
"97","University of Maryland, College Park","United States of America",44.9,"40.4",51.4,83.9,"32.1","57.9","31,331",8.4,"9%","48 : 52",2013,-76.9367935,38.9920364
"98","University of Arizona","United States of America",47,"31.3",53.7,76.9,"83.9","57.7","36,429",12.7,"8%","52 : 48",2013,-82.4530718,28.067177
"99","Humboldt University of Berlin","Germany",55.4,"57.5",58.7,59.5,"-","57.5","29,987",52.5,"16%","",2013,13.5333041,52.4321218
"99","Monash University","Australia",47.8,"66.4",60.6,60.9,"70.0","57.5","50,882",40.5,"36%","56 : 44",2013,145.1340508,-38.1532011
"99","Rutgers, the State University of New Jersey","United States of America",50.9,"27.9",61.3,69.5,"35.8","57.5","37,032",17.3,"8%","51 : 49",2013,-74.1741891,40.7416983
"102","University of Rochester","United States of America",46,"45.9",37.8,92.3,"39.6","57.2","9,390",4.5,"26%","49 : 51",2013,-77.6260033,43.1305531
"103","University of York","United Kingdom",41.9,"71.9",43.9,83.4,"38.4","57.1","",NA,"","",2013,-104.9603049,39.6818471
"104","Case Western Reserve University","United States of America",56.5,"34.2",42,80.4,"-","56.9","9,259",6.4,"17%","48 : 52",2013,-81.6083838,41.5043413
"105","Technical University of Munich","Germany",51.2,"61.5",42.4,76.5,"49.7","56.8","35,565",31.5,"20%","33 : 67",2013,19.2402603,52.0563394
"106","Uppsala University","Sweden",48.6,"56.3",63.9,58.2,"44.1","56.6","25,266",18.2,"12%","57 : 43",2013,17.6300093,59.8509005
"106","Vanderbilt University","United States of America",51.5,"27.5",40.9,85,"53.0","56.6","12,161",3.6,"10%","52 : 48",2013,-73.7199435,40.7694536
"108","University of St Andrews","United Kingdom",43.2,"86.3",43.8,76.6,"38.9","56.5","8,338",12.7,"47%","56 : 44",2013,-2.7930852,56.3412112
"109","University of Helsinki","Finland",42.8,"48.3",53,77.7,"31.1","56.4","23,505",15.1,"6%","66 : 34",2013,-99.1698567,19.3049111
"110","Trinity College Dublin","Republic of Ireland",41.9,"84.5",33.5,88.1,"32.8","56.2","15,521",18,"25%","57 : 43",2013,-6.2576899,53.3454782
